all_families,family,genus,species,common_name,notes
acanthaceae,apiaceae,Apium,graveolens,Celery,
achariaceae,convolvulaceae,Ipomoea,batatas,Sweet potato,
achatocarpaceae,piperaceae,Piper,nigrum,Black pepper,
acoraceae,caricaceae,Carica,papaya,Papaya,
actinidiaceae,rosaceae,Fragaria,F. x ananassa,Garden strawberry,
adoxaceae,brassicaceae,Brassica,oleracea,Red cabbage,JLG: home made sauerkraut
aextoxicaceae,brassicaceae,Brassica,oleracea,Green cabbage,JLG: home made sauerkraut
aizoaceae,brassicaceae,Brassica,oleracea,Cauliflower,
akaniaceae,brassicaceae,Brassica,oleracea,Kale,
alismataceae,brassicaceae,Brassica,oleracea,Brussells sprouts,
alseuosmiaceae,,,,,
alstroemeriaceae,,,,,
altingiaceae,,,,,
alzateaceae,,,,,
amaranthaceae,,,,,
amaryllidaceae,,,,,
amborellaceae,,,,,
amphorogynaceae,,,,,
anacampserotaceae,,,,,
anacardiaceae,,,,,
anarthriaceae,,,,,
ancistrocladaceae,,,,,
anisophylleaceae,,,,,
annonaceae,,,,,
aphanopetalaceae,,,,,
aphloiaceae,,,,,
apiaceae,,,,,
apocynaceae,,,,,
apodanthaceae,,,,,
aponogetonaceae,,,,,
aptandraceae,,,,,
aquifoliaceae,,,,,
araceae,,,,,
araliaceae,,,,,
arecaceae,,,,,
argophyllaceae,,,,,
aristolochiaceae,,,,,
asaraceae,,,,,
asparagaceae,,,,,
asphodelaceae,,,,,
asteliaceae,,,,,
asteraceae,,,,,
asteropeiaceae,,,,,
atherospermataceae,,,,,
austrobaileyaceae,,,,,
balanopaceae,,,,,
balanophoraceae,,,,,
balsaminaceae,,,,,
barbeuiaceae,,,,,
barbeyaceae,,,,,
basellaceae,,,,,
bataceae,,,,,
begoniaceae,,,,,
berberidaceae,,,,,
berberidopsidaceae,,,,,
betulaceae,,,,,
biebersteiniaceae,,,,,
bignoniaceae,,,,,
bixaceae,,,,,
blandfordiaceae,,,,,
bonnetiaceae,,,,,
boraginaceae,,,,,
boryaceae,,,,,
brassicaceae,,,,,
bromeliaceae,,,,,
brunelliaceae,,,,,
bruniaceae,,,,,
burmanniaceae,,,,,
burseraceae,,,,,
butomaceae,,,,,
buxaceae,,,,,
byblidaceae,,,,,
cabombaceae,,,,,
cactaceae,,,,,
calceolariaceae,,,,,
calophyllaceae,,,,,
calycanthaceae,,,,,
calyceraceae,,,,,
campanulaceae,,,,,
campynemataceae,,,,,
canellaceae,,,,,
cannabaceae,,,,,
cannaceae,,,,,
capparaceae,,,,,
caprifoliaceae,,,,,
cardiopteridaceae,,,,,
caricaceae,,,,,
carlemanniaceae,,,,,
caryocaraceae,,,,,
caryophyllaceae,,,,,
casuarinaceae,,,,,
celastraceae,,,,,
centrolepidaceae,,,,,
centroplacaceae,,,,,
cephalotaceae,,,,,
ceratophyllaceae,,,,,
cercidiphyllaceae,,,,,
cervantesiaceae,,,,,
chloranthaceae,,,,,
chrysobalanaceae,,,,,
circaeasteraceae,,,,,
cistaceae,,,,,
cleomaceae,,,,,
clethraceae,,,,,
clusiaceae,,,,,
colchicaceae,,,,,
columelliaceae,,,,,
comandraceae,,,,,
combretaceae,,,,,
commelinaceae,,,,,
connaraceae,,,,,
convolvulaceae,,,,,
coriariaceae,,,,,
cornaceae,,,,,
corsiaceae,,,,,
corynocarpaceae,,,,,
costaceae,,,,,
coulaceae,,,,,
crassulaceae,,,,,
crossosomataceae,,,,,
crypteroniaceae,,,,,
ctenolophonaceae,,,,,
cucurbitaceae,,,,,
cunoniaceae,,,,,
curtisiaceae,,,,,
cyclanthaceae,,,,,
cymodoceaceae,,,,,
cynomoriaceae,,,,,
cyperaceae,,,,,
cyrillaceae,,,,,
cytinaceae,,,,,
daphniphyllaceae,,,,,
dasypogonaceae,,,,,
datiscaceae,,,,,
degeneriaceae,,,,,
diapensiaceae,,,,,
dichapetalaceae,,,,,
didiereaceae,,,,,
dilleniaceae,,,,,
dioncophyllaceae,,,,,
dioscoreaceae,,,,,
dipentodontaceae,,,,,
dipterocarpaceae,,,,,
dirachmaceae,,,,,
doryanthaceae,,,,,
droseraceae,,,,,
drosophyllaceae,,,,,
ebenaceae,,,,,
ecdeiocoleaceae,,,,,
elaeagnaceae,,,,,
elaeocarpaceae,,,,,
elatinaceae,,,,,
emblingiaceae,,,,,
