all_orders,all_families,order,family,genus,species,common_name,notes
alismatales,acanthaceae,apiales,apiaceae,Apium,graveolens,Celery,
apiales,achariaceae,solanales,convolvulaceae,Ipomoea,batatas,Sweet potato,
aquifoliales,achatocarpaceae,piperales,piperaceae,Piper,nigrum,Black pepper,
arecales,acoraceae,brassicales,caricaceae,Carica,papaya,Papaya,
asparagales,actinidiaceae,rosales,rosaceae,Fragaria,F. x ananassa,Garden strawberry,
asterales,adoxaceae,brassicales,brassicaceae,Brassica,oleracea,Red cabbage,JLG: home made sauerkraut
austrobaileyales,aextoxicaceae,brassicales,brassicaceae,Brassica,oleracea,Green cabbage,JLG: home made sauerkraut
berberidopsidales,aizoaceae,brassicales,brassicaceae,Brassica,oleracea,Cauliflower,
brassicales,akaniaceae,brassicales,brassicaceae,Brassica,oleracea,Kale,
bruniales,alismataceae,brassicales,brassicaceae,Brassica,oleracea,Brussells sprouts,
canellales,alseuosmiaceae,aquifoliales,aquifoliaceae,Ilex,paraguariensis,Yerba mate,
caryophyllales,alstroemeriaceae,arecales,arecaceae,Phoenix,dactylifera,Date palm,
celastrales,altingiaceae,asparagales,asparagaceae,Asparagus,officinalis,Asparagus,
commelinales,alzateaceae,asterales,asteraceae,Cynara,cardunculus,Artichoke,
cornales,amaranthaceae,caryophyllales,polygonaceae,Rheum,rhabarbarum,Rhubarb,
crossosomatales,amaryllidaceae,cucurbitales,cucurbitaceae,Cucurbita,pepo,Zucchini,
cucurbitales,amborellaceae,dioscoreales,dioscoreaceae,Dioscorea,,Yam,
dioscoreales,amphorogynaceae,dipsacales,adoxaceae,Sambucus,canadensis,Elderflower,
dipsacales,anacampserotaceae,ericales,ericaceae,Vaccinium,corymbosum,Blueberry,
ericales,anacardiaceae,fabales,fabaceae,Phaseolus,vulgaris,Green bean,
fabales,anarthriaceae,fagales,fagaceae,Castanea,sativa,Sweet chestnut,
fagales,ancistrocladaceae,,,,,,
garryales,anisophylleaceae,,,,,,
gentianales,annonaceae,,,,,,
geraniales,aphanopetalaceae,,,,,,
gunnerales,aphloiaceae,,,,,,
huerteales,apiaceae,,,,,,
icacinales,apocynaceae,,,,,,
lamiales,apodanthaceae,,,,,,
laurales,aponogetonaceae,,,,,,
liliales,aptandraceae,,,,,,
magnoliales,aquifoliaceae,,,,,,
malpighiales,araceae,,,,,,
malvales,araliaceae,,,,,,
myrtales,arecaceae,,,,,,
nymphaeales,argophyllaceae,,,,,,
oxalidales,aristolochiaceae,,,,,,
pandanales,asaraceae,,,,,,
piperales,asparagaceae,,,,,,
poales,asphodelaceae,,,,,,
proteales,asteliaceae,,,,,,
ranunculales,asteraceae,,,,,,
rosales,asteropeiaceae,,,,,,
santalales,atherospermataceae,,,,,,
sapindales,austrobaileyaceae,,,,,,
saxifragales,balanopaceae,,,,,,
solanales,balanophoraceae,,,,,,
zingiberales,balsaminaceae,,,,,,
zygophyllales,barbeuiaceae,,,,,,
,barbeyaceae,,,,,,
,basellaceae,,,,,,
,bataceae,,,,,,
,begoniaceae,,,,,,
,berberidaceae,,,,,,
,berberidopsidaceae,,,,,,
,betulaceae,,,,,,
,biebersteiniaceae,,,,,,
,bignoniaceae,,,,,,
,bixaceae,,,,,,
,blandfordiaceae,,,,,,
,bonnetiaceae,,,,,,
,boraginaceae,,,,,,
,boryaceae,,,,,,
,brassicaceae,,,,,,
,bromeliaceae,,,,,,
,brunelliaceae,,,,,,
,bruniaceae,,,,,,
,burmanniaceae,,,,,,
,burseraceae,,,,,,
,butomaceae,,,,,,
,buxaceae,,,,,,
,byblidaceae,,,,,,
,cabombaceae,,,,,,
,cactaceae,,,,,,
,calceolariaceae,,,,,,
,calophyllaceae,,,,,,
,calycanthaceae,,,,,,
,calyceraceae,,,,,,
,campanulaceae,,,,,,
,campynemataceae,,,,,,
,canellaceae,,,,,,
,cannabaceae,,,,,,
,cannaceae,,,,,,
,capparaceae,,,,,,
,caprifoliaceae,,,,,,
,cardiopteridaceae,,,,,,
,caricaceae,,,,,,
,carlemanniaceae,,,,,,
,caryocaraceae,,,,,,
,caryophyllaceae,,,,,,
,casuarinaceae,,,,,,
,celastraceae,,,,,,
,centrolepidaceae,,,,,,
,centroplacaceae,,,,,,
,cephalotaceae,,,,,,
,ceratophyllaceae,,,,,,
,cercidiphyllaceae,,,,,,
,cervantesiaceae,,,,,,
,chloranthaceae,,,,,,
,chrysobalanaceae,,,,,,
,circaeasteraceae,,,,,,
,cistaceae,,,,,,
,cleomaceae,,,,,,
,clethraceae,,,,,,
,clusiaceae,,,,,,
,colchicaceae,,,,,,
,columelliaceae,,,,,,
,comandraceae,,,,,,
,combretaceae,,,,,,
,commelinaceae,,,,,,
,connaraceae,,,,,,
,convolvulaceae,,,,,,
,coriariaceae,,,,,,
,cornaceae,,,,,,
,corsiaceae,,,,,,
,corynocarpaceae,,,,,,
,costaceae,,,,,,
,coulaceae,,,,,,
,crassulaceae,,,,,,
,crossosomataceae,,,,,,
,crypteroniaceae,,,,,,
,ctenolophonaceae,,,,,,
,cucurbitaceae,,,,,,
,cunoniaceae,,,,,,
,curtisiaceae,,,,,,
,cyclanthaceae,,,,,,
,cymodoceaceae,,,,,,
,cynomoriaceae,,,,,,
,cyperaceae,,,,,,
,cyrillaceae,,,,,,
,cytinaceae,,,,,,
,daphniphyllaceae,,,,,,
,dasypogonaceae,,,,,,
,datiscaceae,,,,,,
,degeneriaceae,,,,,,
,diapensiaceae,,,,,,
,dichapetalaceae,,,,,,
,didiereaceae,,,,,,
,dilleniaceae,,,,,,
,dioncophyllaceae,,,,,,
,dioscoreaceae,,,,,,
,dipentodontaceae,,,,,,
,dipterocarpaceae,,,,,,
,dirachmaceae,,,,,,
,doryanthaceae,,,,,,
,droseraceae,,,,,,
,drosophyllaceae,,,,,,
,ebenaceae,,,,,,
,ecdeiocoleaceae,,,,,,
,elaeagnaceae,,,,,,
,elaeocarpaceae,,,,,,
,elatinaceae,,,,,,
,emblingiaceae,,,,,,
,ericaceae,,,,,,
,eriocaulaceae,,,,,,
,erythropalaceae,,,,,,
,erythroxylaceae,,,,,,
,escalloniaceae,,,,,,
,eucommiaceae,,,,,,
,euphorbiaceae,,,,,,
,euphroniaceae,,,,,,
,eupomatiaceae,,,,,,
,eupteleaceae,,,,,,
,fabaceae,,,,,,
,fagaceae,,,,,,
,flagellariaceae,,,,,,
,fouquieriaceae,,,,,,
,francoaceae,,,,,,
,frankeniaceae,,,,,,
,garryaceae,,,,,,
,geissolomataceae,,,,,,
,gelsemiaceae,,,,,,
,gentianaceae,,,,,,
,geraniaceae,,,,,,
,gerrardinaceae,,,,,,
,gesneriaceae,,,,,,
,gisekiaceae,,,,,,
,gomortegaceae,,,,,,
,goodeniaceae,,,,,,
,goupiaceae,,,,,,
,greyiaceae,,,,,,
,griseliniaceae,,,,,,
,grossulariaceae,,,,,,
,grubbiaceae,,,,,,
,guamatelaceae,,,,,,
,gunneraceae,,,,,,
,gyrostemonaceae,,,,,,
,haemodoraceae,,,,,,
,halophytaceae,,,,,,
,haloragaceae,,,,,,
,hamamelidaceae,,,,,,
,hanguanaceae,,,,,,
,heliconiaceae,,,,,,
,helwingiaceae,,,,,,
,hernandiaceae,,,,,,
,himantandraceae,,,,,,
,huaceae,,,,,,
,humiriaceae,,,,,,
,hydatellaceae,,,,,,
,hydnoraceae,,,,,,
,hydrangeaceae,,,,,,
,hydrocharitaceae,,,,,,
,hydroleaceae,,,,,,
,hydrostachyaceae,,,,,,
,hypericaceae,,,,,,
,hypoxidaceae,,,,,,
,icacinaceae,,,,,,
,iridaceae,,,,,,
,irvingiaceae,,,,,,
,iteaceae,,,,,,
,ixioliriaceae,,,,,,
,ixonanthaceae,,,,,,
,joinvilleaceae,,,,,,
,juglandaceae,,,,,,
,juncaceae,,,,,,
,juncaginaceae,,,,,,
,kewaceae,,,,,,
,kirkiaceae,,,,,,
,koeberliniaceae,,,,,,
,krameriaceae,,,,,,
,lacistemataceae,,,,,,
,lactoridaceae,,,,,,
,lamiaceae,,,,,,
,lanariaceae,,,,,,
,lardizabalaceae,,,,,,
,lauraceae,,,,,,
,lecythidaceae,,,,,,
,lentibulariaceae,,,,,,
,lepidobotryaceae,,,,,,
,liliaceae,,,,,,
,limeaceae,,,,,,
,limnanthaceae,,,,,,
,linaceae,,,,,,
,linderniaceae,,,,,,
,loasaceae,,,,,,
,loganiaceae,,,,,,
,lophiocarpaceae,,,,,,
,lophopyxidaceae,,,,,,
,loranthaceae,,,,,,
